	sourcehostcomb	clinical	environmental/other	total	epitype	OneHealth_host
1697	milk (Bos taurus)_HMV_environmental/other	0	7	7	milk-(bos-taurus)_hmv_environmental/other	Dairy
1698	milk_Bos taurus_environmental/other	0	9	9	milk_bos-taurus_environmental/other	Dairy
1699	milk_HMV_environmental/other	0	7	7	milk_hmv_environmental/other	Dairy
1700	milk_Sus scrofa_environmental/other	0	1	1	milk_sus-scrofa_environmental/other	Dairy
1701	milk_cattle_environmental/other	0	2	2	milk_cattle_environmental/other	Dairy
1702	mink intestine (Neovison vison)_HMV_environmental/other	0	1	1	mink-intestine-(neovison-vison)_hmv_environmental/other	Environment
1703	mink_HMV_environmental/other	0	2	2	mink_hmv_environmental/other	Environment
1704	miscellaneous body fluid_Homo sapiens_clinical	1	0	1	miscellaneous-body-fluid_homo-sapiens_clinical	Homosapiens
1705	missing (Canis lupus familiaris)_HMV_environmental/other	0	1	1	missing-(canis-lupus-familiaris)_hmv_environmental/other	Dog
1706	mixed nut_HMV_environmental/other	0	5	5	mixed-nut_hmv_environmental/other	Environment
1707	mouse_HMV_environmental/other	0	4	4	mouse_hmv_environmental/other	Environment
1708	mule deer_HMV_environmental/other	0	1	1	mule-deer_hmv_environmental/other	Environment
1709	muscle_Bos taurus_environmental/other	0	2	2	muscle_bos-taurus_environmental/other	Ruminant
1710	mustelidae mink lung_mink_environmental/other	0	2	2	mustelidae-mink-lung_mink_environmental/other	Environment
1711	nail bed (Canis lupus familiaris)_HMV_environmental/other	0	1	1	nail-bed-(canis-lupus-familiaris)_hmv_environmental/other	Dog
1712	nasal swab_HMV_environmental/other	0	1	1	nasal-swab_hmv_environmental/other	Environment
1713	nasal swab_cat_environmental/other	0	1	1	nasal-swab_cat_environmental/other	Environment
1714	neck_Homo sapiens_clinical	1	0	1	neck_homo-sapiens_clinical	Homosapiens
1715	not available: not collected_not available: not collected_environmental/other	0	1	1	not-available:-not-collected_not-available:-not-collected_environmental/other	Environment
1716	not available: to be reported later_not available_environmental/other	0	4	4	not-available:-to-be-reported-later_not-available_environmental/other	Environment
1717	not collected_Homo sapiens_clinical	6	0	6	not-collected_homo-sapiens_clinical	Homosapiens
1718	not collected_Sus scrofa_environmental/other	0	1	1	not-collected_sus-scrofa_environmental/other	Swine
1719	okapi_HMV_environmental/other	0	3	3	okapi_hmv_environmental/other	Environment
1720	oral swab_pig_environmental/other	0	1	1	oral-swab_pig_environmental/other	Swine
1721	orangutan_HMV_environmental/other	0	1	1	orangutan_hmv_environmental/other	Environment
1722	organic all-purpose flour_HMV_environmental/other	0	1	1	organic-all-purpose-flour_hmv_environmental/other	plant_based_food
1723	organic baby spinach_HMV_environmental/other	0	2	2	organic-baby-spinach_hmv_environmental/other	plant_based_food
1724	organic mizuna_HMV_environmental/other	0	1	1	organic-mizuna_hmv_environmental/other	plant_based_food
1725	organic spinach_HMV_environmental/other	0	1	1	organic-spinach_hmv_environmental/other	plant_based_food
1726	other isolate_Homo sapiens_clinical	3	0	3	other-isolate_homo-sapiens_clinical	Homosapiens
1727	other_Homo sapiens_clinical	3	0	3	other_homo-sapiens_clinical	Homosapiens
1728	oviduct_chicken_environmental/other	0	1	1	oviduct_chicken_environmental/other	Poultry
1729	ovine bronchus_ovine_environmental/other	0	2	2	ovine-bronchus_ovine_environmental/other	Ruminant
1730	ovine intestine_HMV_environmental/other	0	1	1	ovine-intestine_hmv_environmental/other	Ruminant
1731	ovine intestine_sheep_environmental/other	0	1	1	ovine-intestine_sheep_environmental/other	Ruminant
1732	ovine rectum_oulfon sheep_environmental/other	0	1	1	ovine-rectum_oulfon-sheep_environmental/other	Ruminant
1733	ovine small intestine_ovine_environmental/other	0	1	1	ovine-small-intestine_ovine_environmental/other	Ruminant
1734	ovine spleen_sheep_environmental/other	0	1	1	ovine-spleen_sheep_environmental/other	Ruminant
1735	owl pellet_HMV_environmental/other	0	1	1	owl-pellet_hmv_environmental/other	Environment
1736	oyster_HMV_environmental/other	0	111	111	oyster_hmv_environmental/other	Environment
1737	packaged chicken_HMV_environmental/other	0	27	27	packaged-chicken_hmv_environmental/other	Meat/Meatproduct
1738	packaged turkey_HMV_environmental/other	0	27	27	packaged-turkey_hmv_environmental/other	Meat/Meatproduct
1739	packaged whole turkey_HMV_environmental/other	0	98	98	packaged-whole-turkey_hmv_environmental/other	Meat/Meatproduct
1740	pancreas_horse_environmental/other	0	1	1	pancreas_horse_environmental/other	Horse
1741	parent strain RU1 evolved under selective conditions; BHI evolved gen 950 Population GS_HMV_clinical	10	0	10	parent-strain-ru1-evolved-under-selective-conditions;-bhi-evolved-gen-950-population-gs_hmv_clinical	Homosapiens
1742	parent strain RU1 evolved under selective conditions; LB evolved gen 500 Population GS_HMV_clinical	12	0	12	parent-strain-ru1-evolved-under-selective-conditions;-lb-evolved-gen-500-population-gs_hmv_clinical	Homosapiens
1743	parent strain RU1 evolved under selective conditions; Mutation accumulation gen 5900 LB GS_HMV_clinical	12	0	12	parent-strain-ru1-evolved-under-selective-conditions;-mutation-accumulation-gen-5900-lb-gs_hmv_clinical	Homosapiens
1744	parsley_HMV_environmental/other	0	6	6	parsley_hmv_environmental/other	plant_based_food
1745	patient blood_Homo sapiens_clinical	4	0	4	patient-blood_homo-sapiens_clinical	Homosapiens
1746	patient with bloody diarrhea_Homo sapiens_clinical	1	0	1	patient-with-bloody-diarrhea_homo-sapiens_clinical	Homosapiens
1747	patient with urinary tract infection_Homo sapiens_clinical	209	0	209	patient-with-urinary-tract-infection_homo-sapiens_clinical	Homosapiens
1748	patient_Homo sapiens_clinical	16	0	16	patient_homo-sapiens_clinical	Homosapiens
1749	pea protein pellets_HMV_environmental/other	0	2	2	pea-protein-pellets_hmv_environmental/other	Environment
1750	perianal isolate_Homo sapiens_clinical	1	0	1	perianal-isolate_homo-sapiens_clinical	Homosapiens
1751	pericardial sac_Accipitridae_environmental/other	0	1	1	pericardial-sac_accipitridae_environmental/other	Environment
1752	pericardial sac_Odocoileus virginianus_environmental/other	0	1	1	pericardial-sac_odocoileus-virginianus_environmental/other	Environment
1753	pericardium_chicken_environmental/other	0	2	2	pericardium_chicken_environmental/other	Poultry
1754	peritoneal cavity_Gallus gallus domesticus_clinical	1	0	1	peritoneal-cavity_gallus-gallus-domesticus_clinical	Homosapiens
1755	peritoneal fluid ascites isolate_Homo sapiens_clinical	2	0	2	peritoneal-fluid-ascites-isolate_homo-sapiens_clinical	Homosapiens
1756	peritoneal fluid_Homo sapiens_clinical	3	0	3	peritoneal-fluid_homo-sapiens_clinical	Homosapiens
1757	peritoneal fluid_horse_environmental/other	0	1	1	peritoneal-fluid_horse_environmental/other	Horse
1758	peritoneum (Canis lupus familiaris)_HMV_environmental/other	0	2	2	peritoneum-(canis-lupus-familiaris)_hmv_environmental/other	Dog
1759	peritoneum (Gallus gallus)_Gallus gallus_environmental/other	0	1	1	peritoneum-(gallus-gallus)_gallus-gallus_environmental/other	Poultry
1760	pet food dog_HMV_environmental/other	0	2	2	pet-food-dog_hmv_environmental/other	Dog
1761	pet food_HMV_environmental/other	0	16	16	pet-food_hmv_environmental/other	Environment
1762	pharyngeal tissue_swine_environmental/other	0	1	1	pharyngeal-tissue_swine_environmental/other	Swine
1763	pie crust_HMV_environmental/other	0	2	2	pie-crust_hmv_environmental/other	Environment
1764	pig feces_HMV_environmental/other	0	1	1	pig-feces_hmv_environmental/other	Swine
1765	pig feed_HMV_environmental/other	0	1	1	pig-feed_hmv_environmental/other	Swine
1766	pig liver_porcine_environmental/other	0	1	1	pig-liver_porcine_environmental/other	Swine
1767	pig soil_HMV_environmental/other	0	1	1	pig-soil_hmv_environmental/other	Swine
1768	pig_HMV_environmental/other	0	314	314	pig_hmv_environmental/other	Swine
1769	pizza dough dry mixture_HMV_environmental/other	0	2	2	pizza-dough-dry-mixture_hmv_environmental/other	Environment
1770	pizza dough_HMV_environmental/other	0	2	2	pizza-dough_hmv_environmental/other	Environment
1771	pizza flour mixture_HMV_environmental/other	0	5	5	pizza-flour-mixture_hmv_environmental/other	plant_based_food
1772	pleural cavity_Sus scrofa scrofa_clinical	22	0	22	pleural-cavity_sus-scrofa-scrofa_clinical	Homosapiens
1773	pleural cavity_Sus scrofa scrofa_environmental/other	0	16	16	pleural-cavity_sus-scrofa-scrofa_environmental/other	Swine
1774	pleural fluid (Canis lupus)_HMV_environmental/other	0	1	1	pleural-fluid-(canis-lupus)_hmv_environmental/other	Environment
1775	pooled tissue (Gallus gallus domesticus)_HMV_environmental/other	0	1	1	pooled-tissue-(gallus-gallus-domesticus)_hmv_environmental/other	Poultry
1776	pooled tissue (Phasianus colchicus)_HMV_environmental/other	0	1	1	pooled-tissue-(phasianus-colchicus)_hmv_environmental/other	Environment
1777	porcine abdominal cavity_HMV_environmental/other	0	2	2	porcine-abdominal-cavity_hmv_environmental/other	Swine
1778	porcine feces_HMV_environmental/other	0	1	1	porcine-feces_hmv_environmental/other	Swine
1779	porcine feces_porcine_environmental/other	0	6	6	porcine-feces_porcine_environmental/other	Swine
1780	porcine ileum_HMV_environmental/other	0	1	1	porcine-ileum_hmv_environmental/other	Swine
1781	porcine ileum_Sus scrofa scrofa_environmental/other	0	4	4	porcine-ileum_sus-scrofa-scrofa_environmental/other	Swine
1782	porcine intestine_HMV_environmental/other	0	9	9	porcine-intestine_hmv_environmental/other	Swine
1783	porcine large intestine_HMV_environmental/other	0	1	1	porcine-large-intestine_hmv_environmental/other	Swine
1784	porcine liver_HMV_environmental/other	0	1	1	porcine-liver_hmv_environmental/other	Swine
1785	porcine pig colon_porcine_environmental/other	0	1	1	porcine-pig-colon_porcine_environmental/other	Swine
1786	porcine pig duodenum_Sus scrofa_environmental/other	0	1	1	porcine-pig-duodenum_sus-scrofa_environmental/other	Swine
1787	porcine pig ileum_Sus scrofa scrofa_environmental/other	0	1	1	porcine-pig-ileum_sus-scrofa-scrofa_environmental/other	Swine
1788	porcine pig ileum_Sus scrofa_environmental/other	0	1	1	porcine-pig-ileum_sus-scrofa_environmental/other	Swine
1789	porcine pig ileum_porcine_environmental/other	0	3	3	porcine-pig-ileum_porcine_environmental/other	Swine
1790	porcine pig intestine large_porcine_environmental/other	0	1	1	porcine-pig-intestine-large_porcine_environmental/other	Swine
1791	porcine pig intestine small_Sus scrofa scrofa_environmental/other	0	2	2	porcine-pig-intestine-small_sus-scrofa-scrofa_environmental/other	Swine
1792	porcine pig intestine small_porcine_environmental/other	0	10	10	porcine-pig-intestine-small_porcine_environmental/other	Swine
1793	porcine pig intestine_Sus scrofa scrofa_environmental/other	0	3	3	porcine-pig-intestine_sus-scrofa-scrofa_environmental/other	Swine
1794	porcine pig intestine_Sus scrofa_environmental/other	0	3	3	porcine-pig-intestine_sus-scrofa_environmental/other	Swine
1795	porcine pig intestine_bovine_environmental/other	0	1	1	porcine-pig-intestine_bovine_environmental/other	Ruminant
1796	porcine pig intestine_pig_environmental/other	0	3	3	porcine-pig-intestine_pig_environmental/other	Swine
1797	porcine pig intestine_porcine_environmental/other	0	12	12	porcine-pig-intestine_porcine_environmental/other	Swine
1798	porcine pig jejunum_pig_environmental/other	0	2	2	porcine-pig-jejunum_pig_environmental/other	Swine
1799	porcine pig jejunum_porcine_environmental/other	0	3	3	porcine-pig-jejunum_porcine_environmental/other	Swine
1800	porcine pig kidney_Sus scrofa scrofa_environmental/other	0	1	1	porcine-pig-kidney_sus-scrofa-scrofa_environmental/other	Swine
1801	porcine pig kidney_porcine_environmental/other	0	1	1	porcine-pig-kidney_porcine_environmental/other	Swine
1802	porcine pig lung_Sus scrofa scrofa_environmental/other	0	1	1	porcine-pig-lung_sus-scrofa-scrofa_environmental/other	Swine
1803	porcine pig lung_porcine_environmental/other	0	3	3	porcine-pig-lung_porcine_environmental/other	Swine
1804	porcine pig milk_porcine_environmental/other	0	1	1	porcine-pig-milk_porcine_environmental/other	Dairy
1805	porcine pig peritoneum_porcine_environmental/other	0	1	1	porcine-pig-peritoneum_porcine_environmental/other	Swine
1806	porcine pig serum_pig_environmental/other	0	1	1	porcine-pig-serum_pig_environmental/other	Swine
1807	porcine pig serum_porcine_environmental/other	0	1	1	porcine-pig-serum_porcine_environmental/other	Swine
1808	porcine pig spleen_Sus scrofa scrofa_environmental/other	0	2	2	porcine-pig-spleen_sus-scrofa-scrofa_environmental/other	Swine
1809	porcine pig stomach_Sus scrofa_environmental/other	0	1	1	porcine-pig-stomach_sus-scrofa_environmental/other	Swine
1810	porcine pig stomach_porcine_environmental/other	0	1	1	porcine-pig-stomach_porcine_environmental/other	Swine
1811	porcine pig test strain_pig_environmental/other	0	1	1	porcine-pig-test-strain_pig_environmental/other	Swine
1812	porcine pig test strain_porcine_environmental/other	0	1	1	porcine-pig-test-strain_porcine_environmental/other	Swine
1813	porcine pig vagina_porcine_environmental/other	0	1	1	porcine-pig-vagina_porcine_environmental/other	Swine
1814	porcine pleural cavity_Sus scrofa scrofa_clinical	12	0	12	porcine-pleural-cavity_sus-scrofa-scrofa_clinical	Homosapiens
1815	porcine small intestine_HMV_environmental/other	0	4	4	porcine-small-intestine_hmv_environmental/other	Swine
1816	porcine stomach_HMV_environmental/other	0	1	1	porcine-stomach_hmv_environmental/other	Swine
1817	porcine, pig-Bedding_HMV_environmental/other	0	1	1	porcine,-pig-bedding_hmv_environmental/other	Swine
1818	porcine_HMV_environmental/other	0	4	4	porcine_hmv_environmental/other	Swine
1819	pork chop_HMV_environmental/other	0	94	94	pork-chop_hmv_environmental/other	Environment
1820	pork_HMV_environmental/other	0	19	19	pork_hmv_environmental/other	Environment
1821	post-colorectal surgical infection_Homo sapiens_clinical	1	0	1	post-colorectal-surgical-infection_homo-sapiens_clinical	Homosapiens
1822	potable source water_HMV_environmental/other	0	6	6	potable-source-water_hmv_environmental/other	Environment
1823	poultry house fecal_HMV_environmental/other	0	9	9	poultry-house-fecal_hmv_environmental/other	Environment
1824	poultry house litter back_HMV_environmental/other	0	2	2	poultry-house-litter-back_hmv_environmental/other	Environment
1825	poultry house litter front_HMV_environmental/other	0	2	2	poultry-house-litter-front_hmv_environmental/other	Environment
1826	poultry house litter middle_HMV_environmental/other	0	1	1	poultry-house-litter-middle_hmv_environmental/other	Environment
1827	poultry house litter_HMV_environmental/other	0	2	2	poultry-house-litter_hmv_environmental/other	Environment
1828	poultry_HMV_environmental/other	0	3	3	poultry_hmv_environmental/other	Environment
1829	prairie dog intestine_prarie dog_environmental/other	0	1	1	prairie-dog-intestine_prarie-dog_environmental/other	Dog
1830	prairie dog_HMV_environmental/other	0	3	3	prairie-dog_hmv_environmental/other	Dog
1831	prepuce (Canine)_HMV_environmental/other	0	1	1	prepuce-(canine)_hmv_environmental/other	Dog
1832	prepuce (Canis lupus familiaris)_HMV_environmental/other	0	1	1	prepuce-(canis-lupus-familiaris)_hmv_environmental/other	Dog
1833	primate_HMV_environmental/other	0	5	5	primate_hmv_environmental/other	Environment
1834	produce_HMV_environmental/other	0	1	1	produce_hmv_environmental/other	Environment
1835	product-raw-intact-beef_HMV_environmental/other	0	335	335	product-raw-intact-beef_hmv_environmental/other	Meat/Meatproduct
1836	psittacine, kea-Cloacae_HMV_environmental/other	0	1	1	psittacine,-kea-cloacae_hmv_environmental/other	Environment
1837	rabbit feces_Oryctolagus cuniculus_environmental/other	0	1	1	rabbit-feces_oryctolagus-cuniculus_environmental/other	Environment
1838	rabbit feces_rabbit_environmental/other	0	4	4	rabbit-feces_rabbit_environmental/other	Environment
1839	rabbit_HMV_environmental/other	0	1	1	rabbit_hmv_environmental/other	Environment
1840	raccoon_HMV_environmental/other	0	2	2	raccoon_hmv_environmental/other	Environment
1841	raccoon_raccon_environmental/other	0	1	1	raccoon_raccon_environmental/other	Environment
1842	rat_HMV_environmental/other	0	1	1	rat_hmv_environmental/other	Environment
1843	rattlesnake stomach_Crotalus viridis_environmental/other	0	1	1	rattlesnake-stomach_crotalus-viridis_environmental/other	Environment
1844	raw apple cider_HMV_environmental/other	0	5	5	raw-apple-cider_hmv_environmental/other	plant_based_food
1845	raw beef pet food_HMV_environmental/other	0	2	2	raw-beef-pet-food_hmv_environmental/other	Ruminant
1846	raw beef trim_HMV_environmental/other	0	1	1	raw-beef-trim_hmv_environmental/other	Ruminant
1847	raw beef trimming_HMV_environmental/other	0	1	1	raw-beef-trimming_hmv_environmental/other	Ruminant
1848	raw beef_HMV_environmental/other	0	1	1	raw-beef_hmv_environmental/other	Ruminant
1849	raw burger_HMV_environmental/other	0	4	4	raw-burger_hmv_environmental/other	Meat/Meatproduct
1850	raw cat food_HMV_environmental/other	0	1	1	raw-cat-food_hmv_environmental/other	Environment
1851	raw colostrum_HMV_environmental/other	0	2	2	raw-colostrum_hmv_environmental/other	Environment
1852	raw compost (bos taurus)_HMV_environmental/other	0	2	2	raw-compost-(bos-taurus)_hmv_environmental/other	Ruminant
1853	raw cow milk_HMV_environmental/other	0	1	1	raw-cow-milk_hmv_environmental/other	Dairy
1854	raw cream (cow)_HMV_environmental/other	0	2	2	raw-cream-(cow)_hmv_environmental/other	Ruminant
1855	raw dog food_HMV_environmental/other	0	1	1	raw-dog-food_hmv_environmental/other	Dog
1856	raw flour_HMV_environmental/other	0	2	2	raw-flour_hmv_environmental/other	plant_based_food
1857	raw frozen ground meat patties_HMV_environmental/other	0	1	1	raw-frozen-ground-meat-patties_hmv_environmental/other	Meat/Meatproduct
1858	raw goat aged cheddar cheese_HMV_environmental/other	0	1	1	raw-goat-aged-cheddar-cheese_hmv_environmental/other	Dairy
1859	raw goat milk_HMV_environmental/other	0	1	1	raw-goat-milk_hmv_environmental/other	Dairy
1860	raw ground beef_HMV_environmental/other	0	2	2	raw-ground-beef_hmv_environmental/other	Meat/Meatproduct
1861	raw leafy green_HMV_environmental/other	0	3	3	raw-leafy-green_hmv_environmental/other	plant_based_food
1862	raw liver from pig_HMV_environmental/other	0	2	2	raw-liver-from-pig_hmv_environmental/other	Swine
1863	raw meat_HMV_environmental/other	0	1	1	raw-meat_hmv_environmental/other	Meat/Meatproduct
1864	raw milk cheese_HMV_environmental/other	0	1	1	raw-milk-cheese_hmv_environmental/other	Dairy
1865	raw milk_HMV_environmental/other	0	5	5	raw-milk_hmv_environmental/other	Dairy
1866	raw pet food_HMV_environmental/other	0	1	1	raw-pet-food_hmv_environmental/other	Environment
1867	raw product_HMV_environmental/other	0	8	8	raw-product_hmv_environmental/other	Meat/Meatproduct
1868	raw red chard_HMV_environmental/other	0	1	1	raw-red-chard_hmv_environmental/other	plant_based_food
1869	raw romaine lettuce head_HMV_environmental/other	0	16	16	raw-romaine-lettuce-head_hmv_environmental/other	plant_based_food
1870	raw spinach_HMV_environmental/other	0	4	4	raw-spinach_hmv_environmental/other	plant_based_food
1871	raw turkey dog food_HMV_environmental/other	0	1	1	raw-turkey-dog-food_hmv_environmental/other	Poultry
1872	raw veal_HMV_environmental/other	0	1	1	raw-veal_hmv_environmental/other	Ruminant
1873	raw venison_HMV_environmental/other	0	1	1	raw-venison_hmv_environmental/other	Meat/Meatproduct
1874	raw whole milk (cow)_HMV_environmental/other	0	2	2	raw-whole-milk-(cow)_hmv_environmental/other	Dairy
1875	raw whole milk cow_HMV_environmental/other	0	1	1	raw-whole-milk-cow_hmv_environmental/other	Dairy
1876	raw whole milk_HMV_environmental/other	0	8	8	raw-whole-milk_hmv_environmental/other	Dairy
1877	rectal swab () (missing)_HMV_environmental/other	0	1	1	rectal-swab-()-(missing)_hmv_environmental/other	Environment
1878	rectal swab (Canis familiaris) (Canis familiaris)_HMV_environmental/other	0	5	5	rectal-swab-(canis-familiaris)-(canis-familiaris)_hmv_environmental/other	Dog
1879	rectal swab (Canis familiaris)_HMV_environmental/other	0	1	1	rectal-swab-(canis-familiaris)_hmv_environmental/other	Dog
1880	rectal swab (Canis lupus familiaris)_HMV_environmental/other	0	1	1	rectal-swab-(canis-lupus-familiaris)_hmv_environmental/other	Dog
1881	rectal swab (missing)_HMV_environmental/other	0	1	1	rectal-swab-(missing)_hmv_environmental/other	Environment
1882	rectal swab from college student_Homo sapiens_clinical	1	0	1	rectal-swab-from-college-student_homo-sapiens_clinical	Homosapiens
1883	rectal swab from healthy college student_Homo sapiens_clinical	33	0	33	rectal-swab-from-healthy-college-student_homo-sapiens_clinical	Homosapiens
1884	rectal swab isolate_Homo sapiens_clinical	7	0	7	rectal-swab-isolate_homo-sapiens_clinical	Homosapiens
1885	rectal swab_Callithrix jacchus_environmental/other	0	5	5	rectal-swab_callithrix-jacchus_environmental/other	Environment
1886	rectal swab_HMV_environmental/other	0	1	1	rectal-swab_hmv_environmental/other	Environment
1887	rectal swab_Homo sapiens_clinical	23	0	23	rectal-swab_homo-sapiens_clinical	Homosapiens
1888	rectal swab_Odocoileus virginianus_environmental/other	0	1	1	rectal-swab_odocoileus-virginianus_environmental/other	Environment
1889	rectal_Homo sapiens_clinical	13	0	13	rectal_homo-sapiens_clinical	Homosapiens
1890	rectoanal junction_Bos taurus_environmental/other	0	6	6	rectoanal-junction_bos-taurus_environmental/other	Ruminant
1891	rectum (Ammotragus lervia)_Ammotragus lervia_environmental/other	0	1	1	rectum-(ammotragus-lervia)_ammotragus-lervia_environmental/other	Environment
1892	rectum (Canis lupus)_Canis lupus_environmental/other	0	3	3	rectum-(canis-lupus)_canis-lupus_environmental/other	Environment
1893	rectum (Odocoileus virginianus)_Odocoileus virginianus_environmental/other	0	1	1	rectum-(odocoileus-virginianus)_odocoileus-virginianus_environmental/other	Environment
1894	rectum (Oreotragus oreotragus)_Oreotragus oreotragus_environmental/other	0	1	1	rectum-(oreotragus-oreotragus)_oreotragus-oreotragus_environmental/other	Environment
1895	rectum african green monkey (Chlorocebus sabaeus)_Chlorocebus sabaeus_environmental/other	0	3	3	rectum-african-green-monkey-(chlorocebus-sabaeus)_chlorocebus-sabaeus_environmental/other	Environment
1896	rectum aoudad (Ammotragus lervia)_Ammotragus lervia_environmental/other	0	1	1	rectum-aoudad-(ammotragus-lervia)_ammotragus-lervia_environmental/other	Environment
1897	rectum aprine cretan ibex_cretan ibex_environmental/other	0	1	1	rectum-aprine-cretan-ibex_cretan-ibex_environmental/other	Environment
1898	rectum banteng (Bos javanicus)_Bos javanicus_environmental/other	0	1	1	rectum-banteng-(bos-javanicus)_bos-javanicus_environmental/other	Ruminant
1899	rectum blue sheep (Pseudois nayaur)_Pseudois nayaur_environmental/other	0	1	1	rectum-blue-sheep-(pseudois-nayaur)_pseudois-nayaur_environmental/other	Ruminant
1900	rectum calamian deer cervidae_calamain deer_environmental/other	0	1	1	rectum-calamian-deer-cervidae_calamain-deer_environmental/other	Environment
1901	rectum caprine chinese goral_chinese goral_environmental/other	0	1	1	rectum-caprine-chinese-goral_chinese-goral_environmental/other	Environment
1902	rectum cervidae (Cervus canadensis)_Cervus canadensis macneilli_environmental/other	0	1	1	rectum-cervidae-(cervus-canadensis)_cervus-canadensis-macneilli_environmental/other	Environment
1903	rectum cervidae (Cervus nippon mandarinus)_Cervus nippon mandarinus_environmental/other	0	1	1	rectum-cervidae-(cervus-nippon-mandarinus)_cervus-nippon-mandarinus_environmental/other	Environment
1904	rectum cervidae bactrian wapiti_bactrian wapiti_environmental/other	0	1	1	rectum-cervidae-bactrian-wapiti_bactrian-wapiti_environmental/other	Environment
1905	rectum cervidae mandarin sika (Cervus nippon)_mandarin sika_environmental/other	0	2	2	rectum-cervidae-mandarin-sika-(cervus-nippon)_mandarin-sika_environmental/other	Environment
1906	rectum cervidae muntjac_muntjac_environmental/other	0	1	1	rectum-cervidae-muntjac_muntjac_environmental/other	Environment
1907	rectum rabbit domestic (Oryctolagus cuniculus)_Oryctolagus cuniculus_environmental/other	0	1	1	rectum-rabbit-domestic-(oryctolagus-cuniculus)_oryctolagus-cuniculus_environmental/other	Environment
1908	rectum sheep moulfon_moulfon_environmental/other	0	1	1	rectum-sheep-moulfon_moulfon_environmental/other	Ruminant
1909	rectum(Gazella cuvieri)_Gazella cuvieri_environmental/other	0	1	1	rectum(gazella-cuvieri)_gazella-cuvieri_environmental/other	Environment
1910	rectum_Cephalophus_environmental/other	0	2	2	rectum_cephalophus_environmental/other	Environment
1911	rectum_Homo sapiens_clinical	2	0	2	rectum_homo-sapiens_clinical	Homosapiens
1912	rectum_Macaca mulatta_clinical	1	0	1	rectum_macaca-mulatta_clinical	Homosapiens
1913	rectum_Mus musculus_environmental/other	0	1	1	rectum_mus-musculus_environmental/other	Environment
1914	rectum_Procyon lotor_environmental/other	0	123	123	rectum_procyon-lotor_environmental/other	Environment
1915	rectum_otter_environmental/other	0	2	2	rectum_otter_environmental/other	Environment
1916	rectum_transcaspian urial_environmental/other	0	1	1	rectum_transcaspian-urial_environmental/other	Environment
1917	red cabbage_HMV_environmental/other	0	2	2	red-cabbage_hmv_environmental/other	plant_based_food
1918	reservoir water_HMV_environmental/other	0	3	3	reservoir-water_hmv_environmental/other	Environment
1919	respiratory_Homo sapiens_clinical	2	0	2	respiratory_homo-sapiens_clinical	Homosapiens
1920	resting area feces_HMV_environmental/other	0	4	4	resting-area-feces_hmv_environmental/other	Environment
1921	retail chicken meat_HMV_environmental/other	0	4	4	retail-chicken-meat_hmv_environmental/other	Meat/Meatproduct
1922	retail chicken skin_HMV_environmental/other	0	9	9	retail-chicken-skin_hmv_environmental/other	Poultry
1923	retail chicken_HMV_environmental/other	0	6	6	retail-chicken_hmv_environmental/other	Poultry
1924	retail fresh basil_HMV_environmental/other	0	2	2	retail-fresh-basil_hmv_environmental/other	plant_based_food
1925	retail fresh mint_HMV_environmental/other	0	13	13	retail-fresh-mint_hmv_environmental/other	plant_based_food
1926	retail fresh oregano_HMV_environmental/other	0	7	7	retail-fresh-oregano_hmv_environmental/other	plant_based_food
1927	retail fresh parsley_HMV_environmental/other	0	1	1	retail-fresh-parsley_hmv_environmental/other	plant_based_food
1928	retail fresh rosemary_HMV_environmental/other	0	1	1	retail-fresh-rosemary_hmv_environmental/other	plant_based_food
1929	retail fresh sage_HMV_environmental/other	0	1	1	retail-fresh-sage_hmv_environmental/other	Environment
1930	retail fresh thyme_HMV_environmental/other	0	1	1	retail-fresh-thyme_hmv_environmental/other	plant_based_food
1931	retail ground beef_HMV_environmental/other	0	1	1	retail-ground-beef_hmv_environmental/other	Meat/Meatproduct
1932	retail ground pork_HMV_environmental/other	0	3	3	retail-ground-pork_hmv_environmental/other	Meat/Meatproduct
1933	retail ground turkey_HMV_environmental/other	0	2	2	retail-ground-turkey_hmv_environmental/other	Meat/Meatproduct
1934	retail raw cow milk_HMV_environmental/other	0	1	1	retail-raw-cow-milk_hmv_environmental/other	Dairy
1935	retail raw milk_HMV_environmental/other	0	4	4	retail-raw-milk_hmv_environmental/other	Dairy
1936	rhinocero feces_Rhinoceros_environmental/other	0	2	2	rhinocero-feces_rhinoceros_environmental/other	Environment
1937	rhinocero feces_rhinoceros_environmental/other	0	1	1	rhinocero-feces_rhinoceros_environmental/other	Environment
1938	rodent_HMV_environmental/other	0	6	6	rodent_hmv_environmental/other	Environment
1939	romaine leaves_HMV_environmental/other	0	3	3	romaine-leaves_hmv_environmental/other	plant_based_food
1940	romaine lettuce_HMV_environmental/other	0	24	24	romaine-lettuce_hmv_environmental/other	plant_based_food
1941	roquefort cheese_HMV_environmental/other	0	7	7	roquefort-cheese_hmv_environmental/other	Dairy
1942	roquefort paillon cheese_HMV_environmental/other	0	3	3	roquefort-paillon-cheese_hmv_environmental/other	Dairy
1943	sac pericardial (Gallus gallus)_Gallus gallus_environmental/other	0	1	1	sac-pericardial-(gallus-gallus)_gallus-gallus_environmental/other	Poultry
1944	sand_HMV_environmental/other	0	1	1	sand_hmv_environmental/other	Environment
1945	scat around water reservoir_HMV_environmental/other	0	4	4	scat-around-water-reservoir_hmv_environmental/other	Environment
